Date,Time,PM2.5
01-01-2015,1:00 AM,---
01-01-2015,2:00 AM,---
01-01-2015,3:00 AM,---
01-01-2015,4:00 AM,---
01-01-2015,5:00 AM,---
01-01-2015,6:00 AM,---
01-01-2015,7:00 AM,---
01-01-2015,8:00 AM,---
01-01-2015,9:00 AM,---
01-01-2015,10:00 AM,436
01-01-2015,11:00 AM,291
01-01-2015,12:00 PM,270
01-01-2015,1:00 PM,207
01-01-2015,2:00 PM,163
01-01-2015,3:00 PM,313
01-01-2015,4:00 PM,233
01-01-2015,5:00 PM,173
01-01-2015,6:00 PM,178
01-01-2015,7:00 PM,266
01-01-2015,8:00 PM,449
01-01-2015,9:00 PM,290
01-01-2015,10:00 PM,329
01-01-2015,11:00 PM,281
01/01/2015 24:00 AM,,267
02-01-2015,1:00 AM,259
02-01-2015,2:00 AM,304
02-01-2015,3:00 AM,375
02-01-2015,4:00 AM,457
02-01-2015,5:00 AM,430
02-01-2015,6:00 AM,302
02-01-2015,7:00 AM,154
02-01-2015,8:00 AM,58
02-01-2015,9:00 AM,40
02-01-2015,10:00 AM,37
02-01-2015,11:00 AM,50
02-01-2015,12:00 PM,62
02-01-2015,1:00 PM,54
02-01-2015,2:00 PM,54
02-01-2015,3:00 PM,62
02-01-2015,4:00 PM,104
02-01-2015,5:00 PM,107
02-01-2015,6:00 PM,83
02-01-2015,7:00 PM,93
02-01-2015,8:00 PM,88
02-01-2015,9:00 PM,81
02-01-2015,10:00 PM,87
02-01-2015,11:00 PM,89
02/01/2015 24:00 AM,,93
03-01-2015,1:00 AM,85
03-01-2015,2:00 AM,81
03-01-2015,3:00 AM,80
03-01-2015,4:00 AM,93
03-01-2015,5:00 AM,116
03-01-2015,6:00 AM,110
03-01-2015,7:00 AM,95
03-01-2015,8:00 AM,101
03-01-2015,9:00 AM,92
03-01-2015,10:00 AM,94
03-01-2015,11:00 AM,83
03-01-2015,12:00 PM,78
03-01-2015,1:00 PM,81
03-01-2015,2:00 PM,101
03-01-2015,3:00 PM,116
03-01-2015,4:00 PM,137
03-01-2015,5:00 PM,125
03-01-2015,6:00 PM,118
03-01-2015,7:00 PM,113
03-01-2015,8:00 PM,118
03-01-2015,9:00 PM,134
03-01-2015,10:00 PM,174
03-01-2015,11:00 PM,206
03/01/2015 24:00 AM,,202
04-01-2015,1:00 AM,215
04-01-2015,2:00 AM,189
04-01-2015,3:00 AM,160
04-01-2015,4:00 AM,153
04-01-2015,5:00 AM,131
04-01-2015,6:00 AM,133
04-01-2015,7:00 AM,128
04-01-2015,8:00 AM,115
04-01-2015,9:00 AM,82
04-01-2015,10:00 AM,96
04-01-2015,11:00 AM,123
04-01-2015,12:00 PM,139
04-01-2015,1:00 PM,141
04-01-2015,2:00 PM,142
04-01-2015,3:00 PM,127
04-01-2015,4:00 PM,111
04-01-2015,5:00 PM,111
04-01-2015,6:00 PM,128
04-01-2015,7:00 PM,164
04-01-2015,8:00 PM,191
04-01-2015,9:00 PM,181
04-01-2015,10:00 PM,176
04-01-2015,11:00 PM,164
04/01/2015 24:00 AM,,174
05-01-2015,1:00 AM,135
05-01-2015,2:00 AM,120
05-01-2015,3:00 AM,113
05-01-2015,4:00 AM,118
05-01-2015,5:00 AM,140
05-01-2015,6:00 AM,125
05-01-2015,7:00 AM,117
05-01-2015,8:00 AM,125
05-01-2015,9:00 AM,135
05-01-2015,10:00 AM,146
05-01-2015,11:00 AM,124
05-01-2015,12:00 PM,130
05-01-2015,1:00 PM,113
05-01-2015,2:00 PM,97
05-01-2015,3:00 PM,89
05-01-2015,4:00 PM,83
05-01-2015,5:00 PM,78
05-01-2015,6:00 PM,98
05-01-2015,7:00 PM,105
05-01-2015,8:00 PM,119
05-01-2015,9:00 PM,129
05-01-2015,10:00 PM,144
05-01-2015,11:00 PM,131
05/01/2015 24:00 AM,,129
06-01-2015,1:00 AM,133
06-01-2015,2:00 AM,143
06-01-2015,3:00 AM,147
06-01-2015,4:00 AM,149
06-01-2015,5:00 AM,148
06-01-2015,6:00 AM,136
06-01-2015,7:00 AM,115
06-01-2015,8:00 AM,118
06-01-2015,9:00 AM,116
06-01-2015,10:00 AM,156
06-01-2015,11:00 AM,176
06-01-2015,12:00 PM,210
06-01-2015,1:00 PM,243
06-01-2015,2:00 PM,174
06-01-2015,3:00 PM,161
06-01-2015,4:00 PM,160
06-01-2015,5:00 PM,160
06-01-2015,6:00 PM,183
06-01-2015,7:00 PM,176
06-01-2015,8:00 PM,175
06-01-2015,9:00 PM,196
06-01-2015,10:00 PM,276
06-01-2015,11:00 PM,243
06/01/2015 24:00 AM,,208
07-01-2015,1:00 AM,212
07-01-2015,2:00 AM,217
07-01-2015,3:00 AM,211
07-01-2015,4:00 AM,197
07-01-2015,5:00 AM,180
07-01-2015,6:00 AM,177
07-01-2015,7:00 AM,170
07-01-2015,8:00 AM,197
07-01-2015,9:00 AM,192
07-01-2015,10:00 AM,232
07-01-2015,11:00 AM,304
07-01-2015,12:00 PM,296
07-01-2015,1:00 PM,317
07-01-2015,2:00 PM,272
07-01-2015,3:00 PM,235
07-01-2015,4:00 PM,231
07-01-2015,5:00 PM,215
07-01-2015,6:00 PM,220
07-01-2015,7:00 PM,221
07-01-2015,8:00 PM,196
07-01-2015,9:00 PM,208
07-01-2015,10:00 PM,231
07-01-2015,11:00 PM,269
07/01/2015 24:00 AM,,248
08-01-2015,1:00 AM,234
08-01-2015,2:00 AM,212
08-01-2015,3:00 AM,208
08-01-2015,4:00 AM,194
08-01-2015,5:00 AM,144
08-01-2015,6:00 AM,130
08-01-2015,7:00 AM,115
08-01-2015,8:00 AM,111
08-01-2015,9:00 AM,108
08-01-2015,10:00 AM,121
08-01-2015,11:00 AM,136
08-01-2015,12:00 PM,181
08-01-2015,1:00 PM,276
08-01-2015,2:00 PM,298
08-01-2015,3:00 PM,279
08-01-2015,4:00 PM,279
08-01-2015,5:00 PM,366
08-01-2015,6:00 PM,381
08-01-2015,7:00 PM,365
08-01-2015,8:00 PM,341
08-01-2015,9:00 PM,302
08-01-2015,10:00 PM,273
08-01-2015,11:00 PM,257
08/01/2015 24:00 AM,,239
09-01-2015,1:00 AM,226
09-01-2015,2:00 AM,221
09-01-2015,3:00 AM,200
09-01-2015,4:00 AM,187
09-01-2015,5:00 AM,164
09-01-2015,6:00 AM,162
09-01-2015,7:00 AM,169
09-01-2015,8:00 AM,177
09-01-2015,9:00 AM,215
09-01-2015,10:00 AM,245
09-01-2015,11:00 AM,277
09-01-2015,12:00 PM,298
09-01-2015,1:00 PM,369
09-01-2015,2:00 PM,438
09-01-2015,3:00 PM,408
09-01-2015,4:00 PM,414
09-01-2015,5:00 PM,429
09-01-2015,6:00 PM,340
09-01-2015,7:00 PM,303
09-01-2015,8:00 PM,298
09-01-2015,9:00 PM,294
09-01-2015,10:00 PM,248
09-01-2015,11:00 PM,241
09/01/2015 24:00 AM,,208
